id,govded_id/id,range_from,range_to,salary_credit,er_premium,ee_premium,ec_premium
sss2023_1,govded_2023,-999999999,4250,4000,380,180,10
sss2023_2,govded_2023,4250,4750,4500,427.5,202.5,10
sss2023_3,govded_2023,4750,5250,5000,475,225,10
sss2023_4,govded_2023,5250,5750,5500,522.5,247.5,10
sss2023_5,govded_2023,5750,6250,6000,570,270,10
sss2023_6,govded_2023,6250,6750,6500,617.5,292.5,10
sss2023_7,govded_2023,6750,7250,7000,665,315,10
sss2023_8,govded_2023,7250,7750,7500,712.5,337.5,10
sss2023_9,govded_2023,7750,8250,8000,760,360,10
sss2023_10,govded_2023,8250,8750,8500,807.5,382.5,10
sss2023_11,govded_2023,8750,9250,9000,855,405,10
sss2023_12,govded_2023,9250,9750,9500,902.5,427.5,10
sss2023_13,govded_2023,9750,10250,10000,950,450,10
sss2023_14,govded_2023,10250,10750,10500,997.5,472.5,10
sss2023_15,govded_2023,10750,11250,11000,1045,495,10
sss2023_16,govded_2023,11250,11750,11500,1092.5,517.5,10
sss2023_17,govded_2023,11750,12250,12000,1140,540,10
sss2023_18,govded_2023,12250,12750,12500,1187.5,562.5,10
sss2023_19,govded_2023,12750,13250,13000,1235,585,10
sss2023_20,govded_2023,13250,13750,13500,1282.5,607.5,10
sss2023_21,govded_2023,13750,14250,14000,1330,630,10
sss2023_22,govded_2023,14250,14750,14500,1377.5,652.5,10
sss2023_23,govded_2023,14750,15250,15000,1425,675,30
sss2023_24,govded_2023,15250,15750,15500,1472.5,697.5,30
sss2023_25,govded_2023,15750,16250,16000,1520,720,30
sss2023_26,govded_2023,16250,16750,16500,1567.5,742.5,30
sss2023_27,govded_2023,16750,17250,17000,1615,765,30
sss2023_28,govded_2023,17250,17750,17500,1662.5,787.5,30
sss2023_29,govded_2023,17750,18250,18000,1710,810,30
sss2023_30,govded_2023,18250,18750,18500,1757.5,832.5,30
sss2023_31,govded_2023,18750,19250,19000,1805,855,30
sss2023_32,govded_2023,19250,19750,19500,1852.5,877.5,30
sss2023_33,govded_2023,19750,20250,20000,1900,900,30
sss2023_34,govded_2023,20250,20750,20500,1947.5,922.5,30
sss2023_35,govded_2023,20750,21250,21000,1995,945,30
sss2023_36,govded_2023,21250,21750,21500,2042.5,967.5,30
sss2023_37,govded_2023,21750,22250,22000,2090,990,30
sss2023_38,govded_2023,22250,22750,22500,2137.5,1012.5,30
sss2023_39,govded_2023,22750,23250,23000,2185,1035,30
sss2023_40,govded_2023,23250,23750,23500,2232.5,1057.5,30
sss2023_41,govded_2023,23750,24250,24000,2280,1080,30
sss2023_42,govded_2023,24250,24750,24500,2327.5,1102.5,30
sss2023_43,govded_2023,24750,25250,25000,2375,1125,30
sss2023_44,govded_2023,25250,25750,25500,2422.5,1147.5,30
sss2023_45,govded_2023,25750,26250,26000,2470,1170,30
sss2023_46,govded_2023,26250,26750,26500,2517.5,1192.5,30
sss2023_47,govded_2023,26750,27250,27000,2565,1215,30
sss2023_48,govded_2023,27250,27750,27500,2612.5,1237.5,30
sss2023_49,govded_2023,27750,28250,28000,2660,1260,30
sss2023_50,govded_2023,28250,28750,28500,2707.5,1282.5,30
sss2023_51,govded_2023,28750,29250,29000,2755,1305,30
sss2023_52,govded_2023,29250,29750,29500,2802.5,1327.5,30
sss2023_53,govded_2023,29750,999999999,30000,2850,1350,30
